id,name,grade,description,code,eftId,genderNum,quality,baseAttack,attackGrow,baseDefense,defendGrow,baseHp,hpGrow,baseMagic,mpGrow,geniusMagicType,spiritToRecruit,relationName1,relationDescription1,karma1DemandId,relationName2,relationDescription2,karma2DemandId,relationName3,relationDescription3,karma3DemandId,relationName4,relationDescription4,karma4DemandId,relationName5,relationDescription5,karma5DemandId,relationName6,relationDescription6,karma6DemandId,relationName7,relationDescription7,karma7DemandId,relationName8,relationDescription8,karma8DemandId,maxJueweiDressLevel,compelPrice,cardMeritNum,spiritMeritNum,decomposeRende,decomposeSpiritRende,arcaneTalentId1,arcaneTalentId2,arcaneTalentId3,arcaneTalentId4,arcaneTalentId5,arcaneTalentId6,arcaneTalentId7,arcaneTalentId8,arcaneTalentId9,arcaneTalentId10,arcaneTalentId11,arcaneTalentId12,arcaneTalentId13,arcaneTalentId14,arcaneTalentId15,armType,armCode,compatibility,camp,campNum,dialogue,dub,acquire,showMultiMifa,type,attackSpeed,attackRange,tfAttackEc,canAwake,awakeLevel1,awakeGrade1,awakeAttackGrow1,awakePowerGrow1,awakeMilitaryGrow1,awakeDefendGrow1,AwakeGeniusMagicType1,awakeTalent1,awakeLevel2,awakeGrade2,awakeAttackGrow2,awakePowerGrow2,awakeMilitaryGrow2,awakeDefendGrow2,AwakeGeniusMagicType2,awakeTalent2,awakeLevel3,awakeGrade3,awakeAttackGrow3,awakePowerGrow3,awakeMilitaryGrow3,awakeDefendGrow3,AwakeGeniusMagicType3,awakeTalent3,awakeLevel4,awakeGrade4,awakeAttackGrow4,awakePowerGrow4,awakeMilitaryGrow4,awakeDefendGrow4,AwakeGeniusMagicType4,awakeTalent4,yuanShenMaxLevel,mingGeMaxLevel,evolutionToAwark1,evolutionToAwark2,evolutionToAwark3,evolutionToAwark4,ascendingStarMagicUnlockLevel,globalTalentIds,isDanjiang,hasEvolved,gradeNeedStr1,gradeNeedStr2,gradeNeedStr3,gradeNeedStr4,gradeNeedStr5,gradeNeedStr6,gradeNeedStr7,gradeNeedStr8,gradeNeedStr9,gradeNeedStr10,gradeNeedStr11,gradeNeedStr12,gradeNeedStr13,gradeNeedStr14,gradeNeedStr15,karma1DemandTypeInt,karma2DemandTypeInt,karma3DemandTypeInt,karma4DemandTypeInt,karma5DemandTypeInt,karma6DemandTypeInt,awakeNeedStr1,awakeNeedStr2,awakeNeedStr3,awakeNeedStr4,yuanShenNeedStr0,yuanShenNeedStr1,yuanShenNeedStr2,yuanShenNeedStr3,yuanShenNeedStr4,yuanShenNeedStr5,yuanShenNeedStr6,yuanShenNeedStr7,yuanShenTalent0,yuanShenTalent1,yuanShenTalent2,yuanShenTalent3,yuanShenTalent4,yuanShenTalent5,yuanShenTalent6,yuanShenTalent7,mingGeNeedStr0,mingGeNeedStr1,mingGeNeedStr2,mingGeNeedStr3,mingGeNeedStr4,mingGeNeedStr5,mingGeNeedStr6,mingGeNeedStr7,mingGeTalent0,mingGeTalent1,mingGeTalent2,mingGeTalent3,mingGeTalent4,mingGeTalent5,mingGeTalent6,mingGeTalent7,karma7DemandTypeInt,karma8DemandTypeInt,
13001,拉娜娅,12,女神特工,friend076,friend076,1,3,120,6.0,100,5.0,300,15.0,160,8.0,20219,100,女神特工,拉娜娅身为女神特工，威力+25%,0,杂牌羽绒服,装备#30072#，防御+20%,30072,大铁锤,装备#30008#，攻击+25%,30008,红魔耳机,装备#30116#，军力+20%,30116,黄金S350,装备座驾#60007#，军力+20%,60007,,,,,,,,,,300,5000,4500,45,300,3,24,104,124,0,,0,,,,,,,,,,2,army001,125,蜀,1,为了天下苍生，一起终结这乱世吧！,,7|33,,2,3,20,240,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,6,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13002,夏亚,12,女神特工,friend086,friend086,1,3,100,5.0,120,6.0,380,19.0,80,4.0,20213,100,女神特工,夏亚身为女神特工，威力+25%,0,恐龙演出服,装备#30071#，防御+20%,30071,大铁锤,装备#30008#，攻击+25%,30008,粉红豹墨镜,装备#30115#，军力+20%,30115,Ⅱ型白焰核心,装备毁灭核心#20026#，军力+20%,20026,,,,,,,,,,300,5000,4500,45,300,3,244,104,124,0,,0,,,,,,,,,,2,army001,130,蜀,1,父魂匡扶汉室，重任在肩！,,7,,0,1,20,100,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13003,艾露薇尔,12,女神特工,friend119,friend119,1,3,140,7.0,80,4.0,400,20.0,60,3.0,20214,100,女神特工,艾露薇尔身为女神特工，威力+25%,0,恐龙演出服,装备#30071#，防御+20%,30071,大铁锤,装备#30008#，攻击+25%,30008,红魔耳机,装备#30116#，军力+20%,30116,Ⅱ型冥日核心,装备统御核心#20030#，军力+20%,20030,,,,,,,,,,300,5000,4500,45,300,3,204,84,144,0,,0,,,,,,,,,,1,army004,45,群,3,文丑在此，还不速速纳命来！,,7,,1,4,20,50,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13004,白静怡,12,女神特工,friend079,friend079,1,3,120,6.0,60,3.0,320,16.0,220,11.0,20215,100,女神特工,白静怡身为女神特工，威力+25%,0,牛仔夹克,装备#30074#，防御+20%,30074,大铁锤,装备#30008#，攻击+25%,30008,贵妇头饰,装备#30117#，军力+20%,30117,蓝烈A386,装备座驾#60008#，军力+20%,60008,,,,,,,,,,300,5000,4500,45,300,3,224,104,124,0,,0,,,,,,,,,,2,army001,25,秩序,0,文章，经国之大业，不朽之盛事,,7|33,,2,3,20,240,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,6,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13007,艾琳,12,女神特工,friend082,friend082,0,3,120,6.0,100,5.0,300,15.0,160,8.0,20218,100,女神特工,艾琳身为女神特工，威力+25%,0,恐龙演出服,装备#30071#，防御+20%,30071,精致棒球棍,装备#30012#，攻击+25%,30012,红魔耳机,装备#30116#，军力+20%,30116,Ⅱ型魔音核心,装备守护核心#20036#，军力+20%,20036,,,,,,,,,,300,5000,4500,45,300,3,224,124,84,0,,0,,,,,,,,,,1,army004,50,群,3,将军戎马半世，尚惧兵器乎？,,7,,0,1,20,100,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13008,拉贵尔,14,女神特工,friend084,friend084,0,3,200,10.0,120,6.0,500,25.0,260,13.0,20217,100,女神特工,拉贵尔身为女神特工，威力+25%,0,牛仔外套,装备#30073#，防御+20%,30073,大铁链,装备#30009#，攻击+25%,30009,嘻哈鸭舌帽,装备#30125#，军力+20%,30125,黄金S360,装备座驾#60009#，军力+20%,60009,,,,,,,,,,300,5000,4500,45,300,3,204,124,84,0,,0,,,,,,,,,,0,army007,105,群,3,南蛮女子亦可上阵杀敌，小瞧我的可要吃苦头,,7|9:70:451,,1,4,20,50,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,6,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13009,舒华,14,女神特工,friend085,friend085,1,3,220,11.0,80,4.0,440,22.0,360,18.0,20212,100,女神特工,舒华身为女神特工，威力+25%,0,恐龙演出服,装备#30071#，防御+20%,30071,钢指虎,装备#30011#，攻击+25%,30011,樱花纹领结,装备#30118#，军力+20%,30118,紫焰S360,装备座驾#60011#，军力+20%,60011,,,,,,,,,,300,5000,4500,45,300,3,224,104,124,0,,0,,,,,,,,,,2,army001,130,蜀,1,将门虎子，承我父志,,7|9:70:451,,0,1,20,100,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,6,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13010,埃米尔,14,女神特工,friend113,friend113,1,3,180,9.0,120,6.0,440,22.0,360,18.0,20212,100,女神特工,埃米尔身为女神特工，威力+25%,0,杂牌羽绒服,装备#30072#，防御+20%,30072,镏金绅士杖,装备#30010#，攻击+25%,30010,樱花纹领结,装备#30118#，军力+20%,30118,Ⅱ型末日核心,装备毁灭核心#20022#，军力+20%,20022,,,,,,,,,,300,5000,4500,45,300,3,224,104,124,0,,0,,,,,,,,,,2,army001,70,复仇,2,斩上夔道，扼要径，必生擒敌将,,7|9:70:451,,3,5,20,80,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13011,夏知音,14,女神特工,friend094,,1,3,180,9.0,180,9.0,480,24.0,200,10.0,20217,100,女神特工,夏知音身为女神特工，威力+25%,0,奢华晚礼服,装备#30079#，防御+20%,30079,钢指虎,装备#30011#，攻击+25%,30011,红魔耳机,装备#30116#，军力+20%,30116,Ⅱ型光芒核心,装备统御核心#20020#，军力+20%,20020,,,,,,,,,,300,5000,4500,45,300,3,204,124,84,0,,0,,,,,,,,,,0,army007,30,秩序,0,有吾在此，定保此地万无一失,,7|9:70:451,,0,1,20,100,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
13012,希尔罗兰,14,女神特工,friend039,,1,3,180,9.0,180,9.0,480,24.0,200,10.0,20213,100,女神特工,希尔罗兰身为女神特工，威力+25%,0,杂牌羽绒服,装备#30072#，防御+20%,30072,钢指虎,装备#30011#，攻击+25%,30011,贵妇头饰,装备#30117#，军力+20%,30117,Ⅱ型魔影核心,装备毁灭核心#20027#，军力+20%,20027,,,,,,,,,,300,5000,4500,45,300,3,244,104,124,0,,0,,,,,,,,,,2,army001,70,复仇,2,孙氏待吾恩重如山，吾必厚报之,,7|33|9:70:451,,3,5,20,80,0,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0,,,0,0,,,,,,,0,0,7:40018:4,7:40018:8,7:40018:16|7:40097:4,,,,,,,,,,,,,8,4,3,5,2,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,
